Your search parameters are:
catalog=ANSS
start_time=1989/10/18,00:00:00
end_time=1989/10/25,00:00:00
minimum_magnitude=2.0
maximum_magnitude=10
event_type=E
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1989/10/18 02:44:37.79,37.1233,-121.9238,5.94,2.30,Md,14,61,5,0.05,NC,252805
1989/10/18 02:46:57.65,37.1632,-121.9712,7.79,3.09,Md,15,90,4,0.04,NC,252810
1989/10/18 02:47:57.46,37.1073,-121.8573,4.35,2.38,Md,11,77,2,0.05,NC,252811
1989/10/18 02:48:27.25,37.0678,-121.9298,16.71,3.23,Md,40,52,5,0.07,NC,10090347
1989/10/18 02:48:51.82,37.1862,-121.9888,7.77,2.78,Md,20,62,2,0.03,NC,10090373
1989/10/18 02:49:16.19,37.1248,-121.9818,15.53,2.73,Md,14,74,6,0.06,NC,252812
1989/10/18 02:49:32.67,37.0593,-121.8948,-0.17,3.17,Md,4,148,7,0.06,NC,253535
1989/10/18 02:49:49.06,37.1398,-121.9697,9.75,2.98,Md,28,61,5,0.07,NC,10090407
1989/10/18 02:51:21.02,37.0323,-121.7718,8.74,2.42,Md,13,75,4,0.04,NC,252813
1989/10/18 02:52:40.97,36.9915,-121.7275,11.72,2.71,Md,23,59,5,0.03,NC,252815
1989/10/18 02:52:53.60,46.2110,2.7680,10.00,2.00,Unk,11,,,0.39,NEI,198910184041
1989/10/18 02:55:53.54,37.1007,-121.8592,3.53,2.42,Md,12,76,2,0.05,NC,252819
1989/10/18 02:56:35.08,36.9897,-121.7303,11.79,2.95,Md,44,80,9,0.05,NC,10090408
1989/10/18 03:02:42.56,37.1178,-121.8618,-0.35,3.70,ML,28,54,8,0.07,NC,10090411
1989/10/18 03:04:27.09,33.2020,-116.0280,5.84,2.03,Mc,11,,,0.13,CI,669709
1989/10/18 03:05:59.91,36.9790,-121.7077,10.73,2.52,Md,23,87,3,0.07,NC,255127
1989/10/18 03:06:24.23,37.1650,-121.9765,8.14,2.05,Md,19,57,4,0.14,NC,253890
1989/10/18 03:08:32.97,37.0313,-121.7820,10.09,2.45,Md,32,65,3,0.09,NC,254170
1989/10/18 03:09:58.27,37.0742,-121.8975,12.14,3.20,ML,40,55,7,0.05,NC,10090409
1989/10/18 03:10:40.79,32.6950,93.9150,45.30,4.50,Mb,27,,,1.09,NEI,198910184044
1989/10/18 03:12:35.92,37.1848,-121.9862,7.30,2.46,Md,24,55,2,0.05,NC,256005
1989/10/18 03:13:54.71,37.1547,-121.9517,9.10,2.07,Md,28,55,2,0.07,NC,253895
1989/10/18 03:15:00.12,37.1712,-121.9933,8.00,2.38,Md,33,58,3,0.08,NC,253896
1989/10/18 03:16:19.43,37.1090,-121.8320,3.36,3.17,Md,41,56,0,0.08,NC,10090410
1989/10/18 03:18:45.95,37.1070,-121.8420,4.47,2.52,Md,31,54,1,0.06,NC,253898
1989/10/18 03:21:47.68,37.1107,-121.8343,4.18,3.90,ML,42,59,0,0.06,NC,10090443
1989/10/18 03:23:07.09,37.1843,-121.9752,2.98,3.16,Md,18,55,2,0.06,NC,10090456
1989/10/18 03:23:56.19,37.1367,-121.9893,14.83,4.00,ML,52,67,5,0.08,NC,10090444
1989/10/18 03:25:34.49,62.1620,-151.2847,80.64,2.40,ML,18,,,0.20,AK,
1989/10/18 03:26:10.30,37.1328,-121.9008,7.49,2.12,Md,13,67,5,0.05,NC,255131
1989/10/18 03:27:46.22,36.9612,-121.7232,14.32,3.13,Md,43,75,3,0.06,NC,10090445
1989/10/18 03:28:47.46,36.9573,-121.6825,6.50,3.18,Md,26,95,1,0.07,NC,255132
1989/10/18 03:30:11.38,37.1377,-121.9892,14.80,4.32,Md,52,67,5,0.08,NC,10090146
1989/10/18 03:30:34.76,37.2747,-122.0625,5.84,3.03,Md,36,33,1,0.06,NC,10090446
1989/10/18 03:31:37.56,37.0987,-121.8593,5.21,2.61,Md,10,91,2,0.03,NC,255134
1989/10/18 03:32:30.78,37.1380,-121.9885,13.82,2.55,Md,39,66,5,0.06,NC,256541
1989/10/18 03:33:12.27,37.1272,-121.9448,8.75,2.14,Md,14,57,5,0.06,NC,255136
1989/10/18 03:34:14.71,36.9965,-121.7798,14.96,2.13,Md,9,251,4,0.19,NC,255137
1989/10/18 03:35:45.25,37.1158,-121.8660,4.09,3.80,ML,51,41,3,0.07,NC,10090447
1989/10/18 03:39:11.39,37.2773,-122.0658,5.70,2.50,Md,25,40,1,0.06,NC,145634
1989/10/18 03:40:20.00,37.0755,-121.8880,13.05,2.46,Md,41,56,6,0.08,NC,255138
1989/10/18 03:42:58.99,37.1600,-121.9727,7.98,2.18,Md,30,57,4,0.07,NC,255140
1989/10/18 03:43:16.29,37.1173,-121.8873,3.25,2.52,Md,17,64,5,0.05,NC,256177
1989/10/18 03:46:29.39,37.0557,-121.7868,5.63,3.70,ML,37,63,2,0.08,NC,255142
1989/10/18 03:46:52.69,36.9930,-121.7587,13.78,3.93,Md,24,74,11,0.07,NC,256525
1989/10/18 03:48:51.95,36.9922,-121.7353,12.90,2.40,Md,29,79,6,0.05,NC,255143
1989/10/18 03:50:14.50,37.1900,-122.0565,14.46,2.17,Md,32,57,4,0.08,NC,256548
1989/10/18 03:52:26.65,37.0615,-121.8152,4.38,2.10,Md,18,71,1,0.08,NC,256120
1989/10/18 03:52:43.52,37.0110,-121.7225,0.57,2.26,Md,19,83,9,0.13,NC,256121
1989/10/18 03:52:58.46,37.1042,-121.8225,3.52,3.31,Md,31,58,1,0.15,NC,256580
1989/10/18 03:53:37.11,37.1937,-122.0417,1.17,2.30,Md,7,165,3,0.07,NC,256583
1989/10/18 03:57:15.85,37.1542,-121.9623,8.11,2.01,Md,31,56,3,0.06,NC,256127
1989/10/18 03:58:09.51,37.0493,-121.8252,10.97,2.81,Md,35,70,1,0.06,NC,256128
1989/10/18 04:00:59.07,37.1815,-121.9705,4.02,3.50,ML,36,51,3,0.09,NC,256176
1989/10/18 04:03:06.55,37.1858,-121.9737,2.79,2.28,Md,13,76,2,0.07,NC,256162
1989/10/18 04:03:24.03,36.9385,-121.6835,8.54,2.73,Md,17,75,2,0.07,NC,256163
1989/10/18 04:03:55.28,37.2782,-122.0648,6.11,2.22,Md,17,86,1,0.07,NC,256164
1989/10/18 04:05:27.17,37.1757,-121.9798,7.22,2.36,Md,25,55,3,0.08,NC,256167
1989/10/18 04:06:26.84,37.0402,-121.7702,6.00,2.15,Md,14,84,4,0.05,NC,256168
1989/10/18 04:10:09.76,37.0915,-121.9258,18.85,2.01,Md,10,158,7,0.29,NC,256171
1989/10/18 04:10:55.12,37.0047,-121.7780,11.93,2.31,Md,17,66,4,0.05,NC,256172
1989/10/18 04:11:48.72,37.1317,-121.8993,7.44,2.54,Md,13,81,5,0.05,NC,256173
1989/10/18 04:14:47.98,37.1323,-121.9833,14.81,3.50,ML,50,67,5,0.08,NC,10090448
1989/10/18 04:15:50.87,37.0815,-121.9320,13.28,2.30,Md,19,142,6,0.05,NC,10090457
1989/10/18 04:16:32.45,37.0637,-121.8902,13.44,4.10,ML,48,61,7,0.09,NC,10090201
1989/10/18 04:17:34.88,37.1183,-121.9152,7.00,3.08,Md,14,65,6,0.03,NC,10090212
1989/10/18 04:18:16.02,37.1790,-122.0532,14.20,3.10,ML,43,63,3,0.06,NC,10090213
1989/10/18 04:19:00.15,36.9583,-121.8303,8.22,2.07,Md,20,92,2,0.15,NC,257881
1989/10/18 04:20:17.19,37.1100,-121.8673,3.12,2.26,Md,22,62,3,0.07,NC,257882
1989/10/18 04:25:11.36,37.1722,-121.9865,9.63,3.40,ML,44,56,3,0.06,NC,10090451
1989/10/18 04:25:46.66,37.0430,-121.7797,7.03,3.70,ML,45,87,3,0.09,NC,10090458
1989/10/18 04:26:36.69,36.9985,-121.7597,13.11,3.20,ML,43,72,6,0.05,NC,10090473
1989/10/18 04:28:14.73,36.9797,-121.7620,15.10,3.50,ML,43,69,6,0.07,NC,10090454
1989/10/18 04:29:25.93,37.1038,-121.8653,5.23,2.23,Md,22,59,3,0.05,NC,257887
1989/10/18 04:32:36.81,37.2017,-122.0567,13.17,2.39,Md,37,52,5,0.08,NC,257889
